DataPointID,Narrative Element,Subcategory,DataPoint Name,Definition/Purpose,WriterResponseExample,Data Type,Achievement Title / Grouped Train of Thought v2,# of DataPoints in Achievement / # of Grouped Train of Thought v2,Est. Seconds,Dev. Level,Impact Score
178,Story,Plot,Narrative Hook,"Crafts an opening line that grabs attention, sets the tone, and lures the audience into the tale","It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.",text,Story Protagonist and Central Conflict,5,50,1,2
179,Story,Plot,Subplot Introduced,"Sets up a secondary strand of conflict or character development, adding depth and momentum to the main plot","As the exiled princess fights to reclaim her throne, her growing attraction to a roguish mercenary who saved her life threatens to derail her quest and redefine her sense of destiny.",text,Story Mysteries and Subplots,3,68,2,2
180,Character,Personality,Fear of,Digs into the primal dread or anxiety that subconsciously drives the character's behavior & choices,"Though she projects an unflappable confidence, the charismatic politician secretly lives in terror of being exposed as a fraud, unworthy of the public's trust and affection.",text,Character Backstory and Development,5,64,3,3
181,Character,Backstory,Dark Secret,"Hints at a damaging, hidden truth in the character's past that could unravel them if revealed","The revered small town doctor has never confessed that his medical license was revoked years ago due to his crippling addiction to painkillers, a habit he still secretly struggles with while pretending to be a paragon of health.",text,Character Signature Traits,4,78,4,2
182,World,Law,Punishment for Magic,"Defines how the authorities respond to unauthorized use of supernatural abilities, creating stakes for magic-wielding characters",All citizens of the empire must be registered with their local Magisterium from birth and are fitted with a Collar of Binding to limit their powers. Unsanctioned magic use is punishable by death.,text,World Magic System,4,76,2,2
183,World,Geography,Unique Locations List,"Catalogs notable sites or natural wonders that make the setting distinctive, enabling memorable set pieces & world flavor","--Whispering Catacombs: Labyrinthine tomb complex carved into cliffs above the Groaning Sea, final resting place of the Witch Kings --Shivering Peaks: Unforgiving mountain range capped in eternal frost, home to the near-mythical Evermost Monastery",array,World Unique Elements,3,88,3,3
184,Story,Theme,Reinforcing Subplots List,Identifies B-plots that echo & deepen the central theme through contrast or parallel,"--The loyal soldier's growing disillusionment with his warmongering king mirrors the protagonist's mounting horror at the human cost of their scientific breakthroughs --The mentor character's renewed commitment to her faith as the world ends around her contrasts the protagonist's spiral into nihilism, posing questions about the utility of belief in crisis",array,Story Thematic Elements,6,108,4,2
185,Character,Arc,Changing Worldview Moments,"Collects scenes where the character's perspective on themselves or the world shifts meaningfully, marking their evolution","The jaded detective reflexively assumes the worst of the murder suspect, but when she sees him tenderly caring for his sick mother, her certain guilt gives way to a more empathetic, nuanced view of human nature.",array,Character Influences and Growth,5,80,4,1
186,Plot,Tension,Sources of Conflict List,"Brainstorms potential wellsprings of friction to fuel plot momentum & character dynamics, from the personal to the epic","--Sibling jealousy erupts when the younger prince shows greater aptitude for the magical arts, threatening the heir's claim to the throne --A shocking assassination attempt at a peace summit renews hostilities between rival nations, plunging the continent into chaos",array,Plot Structure and Elements,4,92,2,2
187,Plot,Theme,False Victories List,Contrasts apparent triumphs that bring the character closer to their misbelief with true wins aligned with the theme,"--The ambitious lawyer scores a slick acquittal for a guilty CEO, but her unease at the crowd's cheers hints at the hollowness of worldly success --When the lawyer later faces disbarment for taking a principled stand, her uncompromising integrity in the face of ruin marks a defining win for her soul",array,Plot Resolution and Themes,5,100,4,2
188,Plot,Stakes,Raising the Stakes Moments List,"Escalates the consequences of failure at key turning points, keeping the audience engaged by making inaction impossible","After learning that her slain mother was the true heir to the clan leadership, the reluctant warrior realizes her quest for vengeance is now the only path to avert civil war.",array,Plot Development and Pacing,3,68,3,2
189,Character,Development,Admiring Character,"Identifies an exemplar whose approval or respect the character craves, influencing their choices & measuring their growth","The orphaned squire dreams of living up to the ideals embodied by his mentor, a legendary knight renowned for his chivalry and devotion to the Chivalric Code.",text,Character Influences and Growth,5,66,3,3
190,Character,Relationships,Unexpected Connection,Describes an unlikely bond that challenges the character's assumptions or complicates their journey in revealing ways,"The grizzled old warrior never imagined he'd risk his life for anyone again, but finds himself moved by the young prince's unshakable faith in his goodness - a faith he comes to share in.",text,Character Relationships and Dynamics,5,72,4,3
191,World,Magic System,Acquisition of Magic,"Specifies how characters gain access to magical abilities in the setting, shaping power structures & plot possibilities","Only those born with the emerald eyes of the Old Gods can draw upon the primal forces of nature, destining them for lives of sacred service - or profane dominion - in the Holy Sovereignty.",text,World Magic System,4,72,3,2
192,World,World,Order vs. Chaos,"Battle for Stability, Summarizes the central societal conflict between forces of control & change that underpins the story","As the rigid caste system of the Ascendancy begins to crumble under the weight of its own hypocrisies, a band of idealistic rebels seeks to usher in a new era of equality & enlightenment - but risk plunging the world into anarchy.",text,World Social Structure and Conflict,3,84,2,1
193,Story,Stakes,Broader Consequences,"Explains the wider implications or ripple effects of the protagonist's success or failure beyond their personal fate, raising the global stakes","If the lone hacker fails to stop the rogue AI from seizing control of the world's nuclear arsenals, millions will die and the course of human history will be forever altered.",text,Story Stakes and Consequences,2,74,2,1
194,Story,Plot,Foreshadowing Moments List,"Plants subtle hints or clues about future revelations or plot twists, building anticipation & encouraging close reading","--The normally unerring prophet's vision is clouded when she first meets the story's hero, hinting at his importance. --An innocuous line about the innkeeper's 'unusually green eyes' takes on new meaning when it's later revealed he's a secret scion of the Old Gods.",array,Story Foreshadowing and World Rules,3,92,3,3
195,Story,Dialogue,Key Exchanges,"Captures pivotal conversations that shift relationships, reveal character, or advance the plot","When the dying queen tells the young companion, 'You have your mother's eyes,' she is actually identifying her as the long-lost princess and rightful heir to the embattled kingdom.",array,Story Thematic Elements,6,66,4,2
196,Character,Relationships,Betrayal,Describes a shocking act of treachery by a trusted ally or confidante that shatters the character's faith & reshapes their goals,"After the knight confesses his darkest secret to his beloved mentor, the priest condemns him as an irredeemable sinner and leads a mob to arrest him, setting the stage for a trial by combat that will seal his fate.",text,Character Foils and Symbolism,6,80,4,1
197,Character,Arc,Self-Sacrifice Moment,"Depicts a defining choice where the character willingly endangers themselves for a greater good, cementing their growth","In the climactic battle, the smuggler heroine must decide whether to cut and run with her hard-won treasure or risk everything to hold off the imperial forces long enough for the rebel refugees to escape, proving she now fights for more than just herself.",text,Character Values and Choices,2,88,4,1
198,World,Religion,Deities,"Lists the major gods or mythical figures venerated by the culture, revealing core beliefs & potential plot hooks","--Azura the Sky Mother: Creatrix of the world, source of all magic, locked in eternal struggle with her shadow twin --Morrow, Eater of Hope: The Skulking Dread who feeds on mortal despair, dreams of unmaking his sister's work to return to primordial chaos",array,World Social Structure and Conflict,3,88,2,2
199,World,Science,Key Inventors,Identifies the setting's most brilliant minds whose creations have shaped society & advanced (or threatened) progress,"Lianna Astorex, the Magister of Mechanika, created the great thinking engines that birthed true artificial intelligence - and were promptly banned for their unsettling implications.",text,World Unique Elements,3,70,3,3
200,World,Culture,Rites of Passage,"Describes important rituals or milestones that mark key life transitions, grounding characters in a living society","In the warrior culture of the Kuric plains, a youth cannot be considered an adult until they have completed the Ordeal of the Red Sands by slaying a venomous dune wyrm with only a ritual bone knife.",text,World Unique Elements,3,74,3,3
201,Story,Character,Competing Loyalties,"Traps the character between conflicting allegiances or roles, forcing them to make defining choices","As a secret double agent, the spy's long-dormant patriotism is rekindled when she falls for an enemy officer who dreams of a better way, putting her mission and life on the line.",text,Story Mysteries and Subplots,3,66,2,1
202,Story,Theme,Cautionary Warning,"Distills the negative example or danger the story is trying to highlight, like the Controlling Idea of a Corrupted Protagonist",The brilliant scientist's descent into megalomaniacal madness as his miraculous creation consumes him illustrates the perils of unchecked ambition & cautions that noble ends cannot justify monstrous means.,text,Story Thematic Elements,6,78,4,1
203,World,Technology,Level of Progress,"Assesses the relative technological advancement of the setting on a spectrum from Stone Age to sci-fi, with fantasy & steampunk in between","On the rain-slicked streets of the neon-drenched megacity, flying cars powered by fusion reactors whiz past squalid alleyways where hustlers peddle black market cybernetic augmentations, as a godlike AI whispers of digital apotheosis.",text,World Technology and Boundaries,2,88,1,2
204,World,Supernatural,Supernatural Elements List,"Catalogs the supernormal phenomena or abilities that exist in the setting, from prophetic visions to eldritch monsters",--The Astral Plane: Eerie psychic realm populated by the eternally dreaming minds of slumbering gods whose nightmares sometimes leak into the material world --Therianthropes: Humans able to assume the shape of their spirit totem animal through sacred skinwalking rituals,array,World Supernatural Elements,2,92,3,2
205,Character,Arc,Forgiveness,"Describes the character choosing to release resentment towards another who wronged them, marking a profound evolution","After years of ruthlessly hunting the traitorous vizier who murdered his father, the prince is startled to find only pity as he finally subdues the broken old man babbling of his remorse, and decides true justice lies in redemption, not revenge.",text,Character Influences and Growth,5,86,4,1
206,Character,Relationships,Reconciliation,"Shows the character taking steps to mend a strained or sundered relationship, signaling growth","Chastened by his glimpse of a war-torn future, the brash young chieftain seeks out the exiled shaman he once mocked to humbly ask her aid in uniting the clans against the coming storm.",text,Character Relationships and Dynamics,5,66,4,2
207,Plot,Resolution,Problem Solved,Confirms that the story question raised by the inciting incident has been decisively answered through the protagonist's actions,"With the dark lord's power-mad schemes thwarted and the cursed amulet destroyed, the world is saved and the hero's epic journey is complete - though echoes linger of the greater evil behind it all, waiting for the saga's next installment.",text,Plot Resolution and Aftermath,8,86,4,1
208,Character,Dialogue,Unique Expressions,Gives the character a personal idiom or linguistic quirk that makes their voice distinctive,"--""I aim to misbehave.""",array,Character Signature Traits,4,40,4,4
209,Story,World,Key Taboos,"Defines the major social prohibitions or lines the culture is afraid to cross, constraining characters & creating juicy conflict","Necromancy, or the summoning of the unquiet dead, is the only magical practice forbidden on pain of excommunication and execution by the Hallowed Church.",text,Story Foreshadowing and World Rules,3,66,3,2
210,Character,Development,Mentor Figure,"Identifies an older, wiser guide who helps the character navigate challenges & level up, enabling proxy audience learning",The orphan heroine's quest takes on new direction and meaning when she encounters a blind sage in the forest who recognizes her untapped potential and takes her on as his apprentice in the mystical arts.,text,Character Influences and Growth,5,78,3,3
211,Story,Character,Origin Mysteries,"Teases tantalizing gaps or inconsistencies in what's known of the character's background, hooking curiosity","Strange recurring nightmares of a burning city and a weeping queen have always hinted at a secret buried in the humble stable boy's past, waiting to be discovered.",text,Story Protagonist and Central Conflict,5,64,1,1
212,Story,Plot,Goal Complications,"Lists factors or forces that stand in the way of the protagonist achieving their primary objective, providing narrative obstacles","--The enchanted harp the bard needs to heal the cursed princess is locked in a booby-trapped vault deep beneath the lich king's castle 
--His childhood injury from the fall that claimed his family has left the bard unable to play the harp with the virtuosity required for the counterspell",array,Story Obstacles and Challenges,3,98,2,2
213,World,Supernatural,Cursed Objects or Entities,"Specifies people or things in the setting believed to be magically tainted or ill-fated, posing risks to the unwary","The Lucent Crown worn by the doomed Northern Kings is said to slowly leach the sanity of any unworthy pretender who dares don it, until they devolve into a raving beast.",text,World Supernatural Elements,2,68,3,3
214,World,Geography,Major Regions,"Lays out the primary zones of the setting and their distinguishing features, constructing the physical framework of the world","-The Wailing Wastes: Eerie desert of rust-red sands scoured by the shrieking winds of unnatural tempests, rumored to be haunted by the ghosts of a fallen empire -The Emerald Marches: Lush floodplain nourished by the mighty Iluin River, breadbasket of the Seven Cities",array,World Geography and Politics,2,94,2,2
215,Story,Theme,Moral Lesson,Clarifies the ethical imperative or enlightening insight the audience should glean from the story,"Through her harrowing journey from pride to disgrace to redemption, the valiant knight learns that true heroism lies not in glory on the battlefield but in humbly serving the greater good with compassion.",text,Story Moral and Resolution,3,72,4,1
216,Character,Personality,Mask,Peels back the outward identity the character projects to others & explores the hidden self beneath,"To the galaxy, the cuttingly sarcastic 
smuggler reads as a callous rogue concerned only with her next payday but this persona is a defense mechanism to conceal her guilt over a tragic past and her secret yearning for belonging.",text,Character Signature Traits,4,78,4,2
217,Character,Backstory,Lowest Moment,"Plumbs the character's most traumatic or shameful memory, revealing the scars that still haunt them","The grifter has never forgiven himself for betraying his first love and leading her to financial ruin, a failure of nerve that hardened his heart and set him on a path of ruthless self-interest.",text,Character Backstory and Development,5,70,4,3
218,Story,Resolution,New Normal,"Establishes how the characters' status quo has changed from the beginning as a result of the plot, illustrating the story's transformative arc","With the quest complete and evil vanquished, the ranger hangs up his bow and returns to his ancestral land to rebuild as its new lord, the losses and lessons of his journey equipping him to lead his people into an era of peace.",text,Story Moral and Resolution,3,88,4,1
219,Story,Stakes,Philosophical Significance,"Expresses the deeper existential questions or universal truths the story engages, transcending the immediate literal stakes","As the dissident physicist races to expose the truth about the artifact's origins before the authoritarian state silences her, the battle between intellectual integrity and enforced orthodoxy plays out on the grandest stage, with nothing less than humanity's cosmic destiny on the line.",text,Story Foreshadowing and World Rules,3,98,3,1
220,World,Boundaries,Boundaries,"Outlines the edges or limits of the known world, inspiring questions about what lies beyond & hinting at the dangers/wonders of exploration","At the westernmost fringes of charted space, nebulous Ultramar beckons adventurers and visionaries with its fabled hyperspatial Doors, though few ships return from plumbing its psychedelic depths...",text,World Technology and Boundaries,2,78,1,2
221,World,Politics,Key Institutions,"Names the major forces or factions competing for power, sketching the lines of conflict in the setting",The centuries-old cold war between the declining but ruthless Imperium and the chaotic but ascendant Rebel Alliance reaches a fever pitch as both sides race to harness ancient alien megastructures scattered across the core worlds.,text,World Geography and Politics,2,80,2,2
222,Story,Character,Ghost,Invokes a figure from the character's past who represents their unhealed wounds or enduring regrets,"The aging general's inability to save her shell-shocked brother during their first deployment has left her with a pathological need to shield her troops at all costs, even as the brutal calculus of war demands heart-wrenching sacrifices.",text,Story Thematic Elements,6,80,4,2
223,Story,Character,Misbelief Metaphor,Offers a symbolic representation or embodiment of the character's mistaken worldview that gives way as they arc,"The naive farmboy clings to his father's battered lawman badge as a totem of the comforting belief that the world is simply divided into good guys and bad guys, until the crucible of his quest melts that certainty down into a humbler, more mature understanding.",text,Character Symbolism and Details,3,90,3,2
224,Story,Character,Telling Detail,Highlights a small tic or eccentricity that speaks volumes about the character's inner life,"The hotshot starfighter pilot obsessively repaints the fuselage of her craft before each mission, the gaudy and ever-shifting designs hinting at the colourful personality straining beneath her by-the-book military persona.",text,Character Symbolism and Details,3,76,3,3
225,Story,World,Harsh Realities,Establishes the cruel facts of life that shape the setting's dynamics and grind down its inhabitants,"On the desolate mining colonies of the Outer Rim, water and oxygen are precious commodities, fiercely rationed by the all-powerful Combine that keeps its laborers in de facto serfdom through control of these life-giving resources.",text,Story Obstacles and Challenges,3,78,2,1
226,Story,World,Power Structure,"Articulates the framework of authority that governs the world, from political hierarchies to class strata","In the floating city-states of the cloud belt, the technocratic elite known as The Ascended rule over the landbound masses, their monopoly on the secret of antigravity ensuring a stranglehold on literal and metaphorical mobility.",text,Story Obstacles and Challenges,3,80,2,1
227,Story,Theme,Thematic Foil,"Describes a secondary character who contrasts with the protagonist along thematic lines, throwing their central conflict into sharper relief","The cynical mercenary hired to protect the idealistic young prophet openly scoffs at his talk of peace & unity, believing only in the brutal law of sword and fang, until the prophet's unwavering compassion in the face of violence sows a seeds of doubt in her grim worldview.",text,Character Symbolism and Details,3,98,3,2
228,Character,Backstory,Unfinished Business,Alludes to an unresolved matter from the character's history that still weighs on them & may return,"The world-weary gunslinger is still haunted by his inability to protect his family from the marauding cyborg bandits who left him for dead, a score he aches to settle even as he knows it won't bring his loved ones back.",text,Character Backstory and Development,5,76,3,3
229,Story,Hook,Story Hook,A compelling opening that grabs the reader's attention and draws them into the story,"In a world where dreams are banned, one insomniac discovers she can still dream - and it might just start a revolution.",text,Story Protagonist and Central Conflict,5,48,1,5
230,Character,Story Arc,Character Arc Summary,A brief overview of how the character changes throughout the story,"From a cynical loner to a reluctant hero, John learns to trust others and fight for a cause greater than himself.",text,Character Emotional Journey,4,44,2,4
231,Plot,Resolution,Plot Resolution,How the main conflict of the story is ultimately resolved,"After a climactic battle, the protagonist defeats the antagonist and restores balance to the kingdom, but at great personal cost.",text,Plot Resolution and Aftermath,8,46,4,5
232,Theme,Progression,Theme Progression,How the central theme develops and evolves throughout the story,"The theme of sacrifice is introduced subtly, grows more prominent as characters face increasingly difficult choices, and culminates in the protagonist's ultimate sacrifice for the greater good.",text,Story Moral and Resolution,3,64,3,4
233,Setting,Atmosphere,Setting Atmosphere,The overall mood or feeling evoked by the story's setting,"A fog-shrouded, Gothic atmosphere permeates the story, with crumbling mansions and eerie forests creating a sense of constant unease.",text,Story Themes and Atmosphere,3,46,2,3
234,Market Comp,Audience,Target Audience Comparison,How the story's target audience compares to that of similar works in the market,"While both target fantasy readers, our story aims for a slightly older audience than LOTR, with more complex themes and grittier elements that may appeal to fans of modern epic fantasy like Game of Thrones.",text,Market Comp Analysis and Comparison,4,68,3,3
235,Writer,Style,Writing Style,The author's distinctive voice and approach to storytelling,"My writing style blends lyrical prose with sharp dialogue, creating a contrast between the beauty and harshness of the world I've created.",text,Writer Creative Preferences,5,48,2,4
236,Sequence,Purpose,Sequence Purpose Statement,A concise statement of the sequence's main objective and importance to the story,"This sequence reveals the protagonist's hidden vulnerability while raising the stakes of the central conflict, setting the stage for the upcoming climax.",text,Story Themes and Atmosphere,3,56,2,4
237,Arc,Transformation,Character Transformation,How the character has changed from the beginning to the end of their arc,"By the end of her journey, Sarah has transformed from a timid follower into a confident leader, willing to stand up for her beliefs even in the face of overwhelming opposition.",text,Character Arc and Transformation,4,60,4,5
238,Season,Theme,Season Theme,The overarching theme or central idea explored throughout the season,"This season explores the theme of power corrupting even the most well-intentioned individuals, as our heroes grapple with the responsibilities and temptations of their newfound influence.",text,Story Themes and Atmosphere,3,62,2,4
239,Plot,,Plot Type,Identifies whether this is the main plot (central narrative arc) or a subplot (secondary narrative arc that supports or interacts with the main plot). Determining the plot type helps prioritize and balance narrative elements.,"Main Plot: The power struggle for the Iron Throne following the death of King Robert Baratheon. Subplot: The looming threat of the White Walkers and the coming winter, foreshadowed by strange events in the North.",text,Main Plot & Subplots,2,100,1,5
240,Plot,,Introduction of Protagonist's World,The initial state of the protagonist's life and society before the inciting incident. Establishing the protagonist's world provides a baseline for the changes that will occur over the course of the story.,"The Starks live a noble life in Winterfell, but there are signs of a coming threat - the direwolf south of the Wall, the deserter's warning, and the arrival of the king seeking Ned's service as Hand.",text,Main Plot & Subplots,2,92,1,4
241,Season,,Season Number,The chronological position of this season within the series to track narrative progression,Season 1,text,Season Overview,2,38,1,5
242,Season,,Season Title,The name of the season capturing its main focus or theme to orient writers and audiences,Winter is Coming,text,Season Overview,2,38,1,4
243,Series,,Series Title,The name of the story unit to identify the specific narrative being developed,Game of Thrones,text,Series Basic Details,3,36,1,5
244,Series,,Series Medium,The storytelling format of the series (e.g. novel series television show etc.) to understand its narrative structure and conventions,Television series,text,Series Basic Details,3,48,1,4
245,Series,,Series Genre,"The primary genre or category of the series, to establish its market positioning and audience expectations",Epic fantasy drama,text,Series Basic Details,3,42,1,5
246,Settings,,Setting Name,The name of the story world to identify the specific setting being developed,Westeros,text,Setting Basics,5,36,1,5
247,Settings,,Setting Type,"The kind of world the story takes place in (e.g., fantasy, science fiction, contemporary), to understand its genre conventions and storytelling possibilities",Medieval-inspired fantasy world,text,Setting Basics,5,52,1,5
248,Market Comp,,Comp Title,The name of the comparable work to identify the specific story being analyzed,The Lord of the Rings by J.R.R. Tolkien,text,Market Comp Basics,4,36,1,5
249,Market Comp,,Comp Medium,The storytelling format of the comparable work (e.g. novel film etc.) to understand its narrative structure and conventions,Novel series,text,Market Comp Basics,4,46,1,4
250,Market Comp,,Comp Genre,The primary genre or category of the comparable work to establish its market positioning and audience expectations,Epic fantasy,text,Market Comp Basics,4,44,1,5
251,Market Comp,,Favorite Comp Element,The most compelling or memorable aspect of the comp,"The vivid and immersive world-building, from the Shire to Mordor, that transports readers to Middle Earth",text,Market Comp Basics,4,40,1,4
252,Market Comp,,Comp Plot Highlights,"Key events, conflicts, or turning points in the comp's story","The forming of the Fellowship, the battle in Moria, the breaking of the Fellowship, the battle at Helm's Deep, the final confrontation at Mount Doom",array,Market Comp Core Elements,4,50,2,4
253,Market Comp,,Comp Key Characters,The main characters who drive the comp's plot and embody its themes,"Frodo Baggins (everyman hero), Gandalf (wise mentor), Aragorn (reluctant king), Sauron (dark lord antagonist)",array,Market Comp Core Elements,4,42,2,4
254,Market Comp,,Comp Central Themes,The primary ideas or messages conveyed through the comp's narrative,"Power corrupts, even the smallest person can change the world, friendship and unity can conquer great evil",array,Market Comp Core Elements,4,42,2,5
255,Market Comp,,Comp Tone and Style,The overall mood and writing style of the comp,"Grand, epic tone with richly descriptive prose, a sense of high stakes and a sweeping scale",text,Market Comp Core Elements,4,34,2,4
256,Market Comp,,Comp Similarity to Story,Key parallels between the comp and the current story,"Both feature a hero's journey to save the world from a great evil, set in a richly detailed fantasy world with a large cast of characters.",array,Market Comp Analysis and Comparison,4,48,3,5
257,Market Comp,,Comp Difference from Story,Significant distinctions between the comp and the current story,"While LOTR follows a clear good vs. evil arc, our story features more morally gray characters and explores the complexities of power and politics in a fantasy setting.",array,Market Comp Analysis and Comparison,4,56,3,5
258,Market Comp,,Comp Influence on Story,How the comp has inspired or informed the current story,"LOTR's intricate world-building and epic scope serve as a model, but our story aims for a darker, more mature tone and a deeper exploration of character psychologies and motivations.",array,Market Comp Analysis and Comparison,4,58,3,4
259,Target Audience,,Age Range,"The typical age bracket of the intended audience, to tailor content and themes",18-49 years old,text,Target Audience Basics,4,36,1,5
260,Target Audience,,Gender Skew,"The expected gender balance of the intended audience, to inform character and plot choices","Roughly equal appeal to male and female viewers, with a slight skew towards males",text,Target Audience Basics,4,40,1,4
261,Target Audience,,Interests and Hobbies,"The audience's common passions and pastimes, to organically tie into character details or subplots","Medieval history, fantasy literature, tabletop gaming, cosplay",text,Target Audience Basics,4,40,2,4
262,Target Audience,,Values and Beliefs,The core principles or worldviews that guide the audience's choices and engagement with media,"Values complexity, moral ambiguity, and subversion of tropes. Believes that power corrupts and that the human spirit can overcome great odds.",text,Audience Psychographics,2,56,2,5
263,Target Audience,,Favorite Stories,"Existing IPs or works that the target audience passionately engages with, to understand their preferences and expectations","Game of Thrones, The Lord of the Rings, The Witcher, Dungeons & Dragons",text,Target Audience Basics,4,46,2,4
264,Target Audience,,Content Preferences,"The platforms, formats, and content types the audience prefers to consume","Favors long-form, serialized storytelling on streaming platforms. Engages heavily with fan communities online and at conventions.",text,Audience Psychographics,2,50,2,4
265,Target Audience,,Major Likes,"Identify the main things this audience enjoys in stories, to incorporate into development.","Complex characters, intricate world-building, high stakes, plot twists",array,Target Audience Preferences,4,38,3,5
266,Target Audience,,Major Dislikes,"Recognize the elements this audience doesn't resonate with, to strategically avoid.","Tired fantasy cliches, overused character archetypes, slow pacing, black and white morality",array,Target Audience Preferences,4,42,3,5
267,Target Audience,,Key Traits,"Capture the defining characteristics, motivations, and expectations of the target audience","Passionate, discerning fantasy fans who crave immersive worlds, nuanced characters, and thoughtful themes",text,Target Audience Preferences,4,46,3,4
268,Target Audience,,Desired Emotional Journey,Describe the audience's ideal emotional arc and payoff from engaging with the story,"A rollercoaster of anticipation, shock, and catharsis, feeling a deep connection to the characters' struggles and triumphs",text,Target Audience Preferences,4,50,3,4
269,Settings,,Time Period,"The primary era or time frame in which the story is set, providing historical or futuristic context","The story unfolds in a fantastical analog of the European Middle Ages, with echoes of the Wars of the Roses and the Crusades.",text,Setting Basics,5,52,1,4
270,Settings,,Languages,"The main languages spoken in the story world, including any constructed or fictional tongues unique to the setting","Characters primarily speak in a dialect reminiscent of Old English, with regional variations. High Valyrian is an ancient language of magic and nobility.",text,Setting Basics,5,64,1,3
271,Settings,,Religion and Beliefs,"The major belief systems, philosophies, or religions that shape the story's world and its characters","The polytheistic Faith of the Seven is the dominant religion in Westeros, but the Old Gods of the Forest still hold sway in the North. The Drowned God is worshipped in the Iron Islands.",text,Setting Basics,5,68,1,4
272,Settings,,Key Locations & Significance,"Pivotal or iconic places that serve as memorable setpieces or embody the story's atmosphere and how they connect to character arcs, plot points, or themes","The towering Wall of ice in the North, the decadent capital of King's Landing, the haunted ruins of Harrenhal, the Free Cities across the Narrow Sea. The Wall represents the boundary between civilization and the wild unknown, and the looming supernatural threat. King's Landing is the heart of the ruthless game of thrones.",array,Setting Locations and Landmarks,2,114,2,4
273,Settings,,Key Historical Event & Significance,"Identify historical events that shape the story's present and echoes its themes, and how they influence characters, conflicts, or themes.","Robert's Rebellion overthrew the Targaryen dynasty, setting the stage for the instability and power struggles that drive the plot. Robert's Rebellion haunts the story's present, with questions of legitimacy, loyalty, and the right to rule at the heart of the conflict.",text,Setting Locations and Landmarks,2,96,2,4
274,Settings,,Cultural Touchstones,"Traditions, stories, or historical events that are culturally significant to the people of the story world","The Long Night, a legendary winter that lasted a generation. The Doom of Valyria, the cataclysm that destroyed the once-great civilization. The Targaryen Conquest that united the Seven Kingdoms.",array,Setting Culture and Lore,3,72,3,3
275,Settings,,Cultural Norms & Significance,"Shared values, customs, or behavioral expectations that shape the story's society and characters.","Guest right, the sacred tradition of hospitality, is inviolable. Kinslaying is considered a grievous sin. Bastards are seen as inherently treacherous. The violation of guest right at the Red Wedding is a horrific turning point. Jon Snow's status as a bastard affects his arc and relationships.",text,Setting Culture and Lore,3,94,3,4
276,Settings,,Social Dynamics & Significance,"The power structures, class divisions, or intergroup relations that define the story's social landscape, and how they shape character motivations, create conflict, or influence the plot","The noble houses wield power over the smallfolk. The Citadel's Maesters hold a monopoly on higher learning. Regional identities breed tensions, such as between Northerners and Southrons. Cersei Lannister's ruthless defense of her family's status fuels her schemes. The Sparrows' religious uprising challenges the power of the nobility and the crown.",text,Setting Culture and Lore,3,126,3,4
277,Settings,,The Sights,"Describe a vivid, immersive visual that captures the story's atmosphere or aesthetic","The glittering ice of the Wall stretching across the horizon, the crimson and gold banners of House Lannister fluttering in the breeze, the eerie green glow of wildfire on the Blackwater",text,Setting Sensory Detail,3,66,4,4
278,Settings,,The Sounds,Identify sounds and auditory details that make the story's world feel real and lived-in,"The clang of swords in the training yard, the creak of leather and jingle of spurs, the mournful howl of a direwolf on a cold night",text,Setting Sensory Detail,3,52,4,3
279,Settings,,The Smells,Describe scents and olfactory details that immerse the reader in the story's environment,"The pungent odor of Flea Bottom's crowded streets, the sweet fragrance of lemon cakes and rose petals in the Red Keep's gardens, the crisp scent of pine in the Wolfswood",text,Setting Sensory Detail,3,62,4,3
280,Series,,The Series World Before,"The state of the story world before the events of the series, establishing the status quo","The Seven Kingdoms of Westeros are a feudal society, where noble houses vie for the Iron Throne under the rule of King Robert Baratheon.",text,Series Setup,4,52,1,5
281,Series,,The Series Protagonist Before,"The introduction of the main characters, their roles, relationships, and starting points","The Stark family of Winterfell is introduced, with each member's roles and relationships established. Ned Stark emerges as a central figure, a loyal vassal to King Robert.",text,Series Setup,4,62,1,5
282,Series,,The Series World After,"The state of the story world after the events of the series, showcasing how it has changed","The Iron Throne is destroyed, the monarchy abolished, and a new council forms to guide the Six Kingdoms. The North secures its independence under Queen Sansa Stark.",text,Series Setup,4,60,1,4
283,Series,,The Series Protagonist After,"The state of the main characters after the events of the series, reflecting their arcs and growth","The surviving Stark children have grown from naive youths into battle-hardened leaders, forever changed by their experiences. Bran becomes king, Sansa rules the North, Arya explores the world, and Jon rejoins the Night's Watch.",text,Series Setup,4,78,1,4
284,Series,,Catalyst Event,The inciting incident that disrupts the status quo and sets the main conflict of the series into motion,"The sudden death of King Robert Baratheon, and the revelation of the illegitimacy of Queen Cersei's children, plunges the Seven Kingdoms into a struggle for power.",text,Series Inciting Incident,2,64,1,5
285,Series,,Catalyst Impact,The immediate consequences and shifts in character goals/relationships caused by the inciting incident,"Ned Stark is compelled to investigate the truth of Jon Arryn's death and the lineage of Cersei's children, putting him at odds with the Lannisters and in danger as the new Hand of the King.",text,Series Inciting Incident,2,70,1,5
286,Series,,Key Conflicts,"The primary struggles, obstacles, and threats that characters must face throughout the series","The War of the Five Kings, the machinations of the Lannisters, the growing threat of the White Walkers, and the exiled Daenerys Targaryen's quest to reclaim the Iron Throne.",text,Series Complications and Twists,6,64,2,4
